log.prior	log.likelihood	log.likelihood.test.set
-1.193405479909863743e+03 -3.710569287265441289e+02 -1.549287025701056564e+01
-1.214286037214086718e+03 -3.686115175830893804e+02 -1.613997005482809755e+01
-1.221231730926179353e+03 -3.703887839653676792e+02 -1.547997174073620386e+01
-1.228843431091195725e+03 -3.700955623522127098e+02 -1.586614117750923469e+01
-1.213620181847922595e+03 -3.691055011200149920e+02 -1.572775942953654749e+01
-1.200194070609173878e+03 -3.676077686962919415e+02 -1.552351863914071828e+01
-1.198540742806062099e+03 -3.687258360620770645e+02 -1.559088453953168596e+01
-1.220484651201681800e+03 -3.690668461048508107e+02 -1.556664750854599788e+01
-1.222906479891476010e+03 -3.690454449798186261e+02 -1.545642147217944284e+01
-1.211856941234145779e+03 -3.721569957070942110e+02 -1.564368650084031742e+01
-1.199106138762112323e+03 -3.717610052441877428e+02 -1.561318853296091902e+01
-1.174531250714170255e+03 -3.701711442854342522e+02 -1.594840370839975208e+01
-1.182005092120063182e+03 -3.715640886277984691e+02 -1.588772253391289269e+01
-1.184904619362128642e+03 -3.690972387664172061e+02 -1.565756866501925515e+01
-1.185076634523854409e+03 -3.710994525471197676e+02 -1.551923059075468814e+01
-1.191873255865272313e+03 -3.687012618230218095e+02 -1.554228032297615414e+01
-1.186237350758824732e+03 -3.686807349176464754e+02 -1.525209378216584355e+01
-1.168110216908750317e+03 -3.703873560052157927e+02 -1.596300026024559315e+01
-1.161006562436405147e+03 -3.714553702792831018e+02 -1.531456839896333122e+01
-1.168323706236052658e+03 -3.702189839427865650e+02 -1.521001672035950492e+01
-1.185602832739033147e+03 -3.722339077878988292e+02 -1.515069379095038471e+01
-1.179800435417600511e+03 -3.703120024614559043e+02 -1.476374084863928715e+01
-1.176434936112309288e+03 -3.705388963626487566e+02 -1.473173676678726451e+01
-1.187716450998640084e+03 -3.734889123148004160e+02 -1.478983141846626381e+01
-1.180676070118841835e+03 -3.733282019335916857e+02 -1.499863606459300058e+01
-1.180263803358945552e+03 -3.725816605259782364e+02 -1.499557085325173489e+01
-1.183976746561664868e+03 -3.700459807968831001e+02 -1.514154073428386482e+01
-1.184753435164990151e+03 -3.719295954450258250e+02 -1.568047320217934271e+01
-1.190609078525217001e+03 -3.708783469436953055e+02 -1.623293033345200342e+01
-1.213329374975319752e+03 -3.713612597332202085e+02 -1.654212159103428803e+01
-1.226922646041251028e+03 -3.708486809130515667e+02 -1.642641918364319054e+01
-1.224916089577718822e+03 -3.715948150008802031e+02 -1.548026035131408662e+01
-1.211689032359144448e+03 -3.717274114018613318e+02 -1.545785692674206757e+01
-1.223899877851234578e+03 -3.737567239158250345e+02 -1.530340905332548118e+01
-1.229905514179125021e+03 -3.712339732358861966e+02 -1.561964677318451322e+01
-1.222524988842338644e+03 -3.723742850659766646e+02 -1.561458565729412840e+01
-1.246563576266602695e+03 -3.713128836320030928e+02 -1.531067664153147234e+01
-1.250135400715659898e+03 -3.728022114534130651e+02 -1.515943897364249437e+01
-1.228152697663273329e+03 -3.718857206714042150e+02 -1.553473507622564398e+01
-1.216061142542638891e+03 -3.736911133473194013e+02 -1.579189026063124857e+01
-1.221875370585325072e+03 -3.751718813446881313e+02 -1.568412579872546075e+01
-1.208099782369585455e+03 -3.720638156960728793e+02 -1.594119866435912058e+01
-1.210413971987860350e+03 -3.758759173744031159e+02 -1.671301534375066922e+01
-1.195991375147925282e+03 -3.743009345737565354e+02 -1.695408833290213124e+01
-1.208379068274121437e+03 -3.739119867639105905e+02 -1.688541462245930802e+01
-1.211022954271742037e+03 -3.730741186547063535e+02 -1.735347033733864919e+01
-1.226671742682282002e+03 -3.746830806217175223e+02 -1.700621845069164806e+01
-1.225209690228072077e+03 -3.720142420138533907e+02 -1.691103950173393855e+01
-1.229853726338229080e+03 -3.709680730338290573e+02 -1.666400577221710932e+01
-1.253218662480382136e+03 -3.728585156052956791e+02 -1.652492202189716863e+01
-1.238446578630799650e+03 -3.737716062709391736e+02 -1.636136371951354818e+01
-1.227401359504402080e+03 -3.736993483877358813e+02 -1.585008855187334120e+01
-1.202743036125879371e+03 -3.756174987878257525e+02 -1.590263806392502488e+01
-1.214837851806185881e+03 -3.752345175385484026e+02 -1.530543915545797518e+01
-1.226553336801322075e+03 -3.747146352413423074e+02 -1.530385478526304155e+01
-1.234660063850900769e+03 -3.748403351547952980e+02 -1.564953021753612461e+01
-1.230254943734170865e+03 -3.726041225594884736e+02 -1.563673040167867612e+01
-1.236644075365912840e+03 -3.698809453518101691e+02 -1.569885698234799065e+01
-1.234269339922773725e+03 -3.699658271319163987e+02 -1.561274710878015526e+01
-1.223060138908849240e+03 -3.682156764999730854e+02 -1.553082363830267809e+01
-1.250274649816302144e+03 -3.715390563489746683e+02 -1.555183095819990058e+01
-1.244363742382982991e+03 -3.680936430106664261e+02 -1.555433760284589084e+01
-1.239852260651440247e+03 -3.661304310914466100e+02 -1.555174186222532740e+01
-1.269899902722146408e+03 -3.665263918598028567e+02 -1.526678309502915454e+01
-1.268173119510446440e+03 -3.664780111895247501e+02 -1.513247051667164556e+01
-1.267694513490621603e+03 -3.679059499021284978e+02 -1.516925009961593673e+01
-1.249497791927132994e+03 -3.696724412132741691e+02 -1.524599754400003349e+01
-1.234821524915565988e+03 -3.726262881748901918e+02 -1.550844165880957348e+01
-1.219520864108598062e+03 -3.736293884151463089e+02 -1.487706766010182946e+01
-1.234118728779317507e+03 -3.750838432902161230e+02 -1.499357391963064856e+01
