word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	
8.205737934354029761e+00 8.210707070019346077e+00 7.671080880133091640e+00 6.809601383611080472e+00 8.885965876560138810e+00 5.734975359149005136e+00
8.674900540907534818e+00 9.058119120692156301e+00 8.466745166084320928e+00 9.413348466745580012e+00 9.473965607158740809e+00 7.785909514929593378e+00
9.417186366805871955e+00 8.075275316056783836e+00 8.355186503307539425e+00 8.086158588107689837e+00 9.187964756114327614e+00 7.407334445661210687e+00
9.926692493634929448e+00 9.993423926701566984e+00 7.637947873887759087e+00 7.738782144695693255e+00 9.458110765775266771e+00 9.529658561467634570e+00
8.600540836835410374e+00 9.423611881682862901e+00 5.453496479972332445e+00 9.262331221326377317e+00 9.621599102358407762e+00 9.890970198187343243e+00
8.702455238634840384e+00 8.032672384976901725e+00 5.745858531043117168e+00 9.258469867380940244e+00 9.691519712872617376e+00 9.871948594833220625e+00
7.010346388806206974e+00 4.201475025709060063e+00 7.171088795418546269e+00 9.254789680851423839e+00 9.980925615724141053e+00 8.692248576380141145e+00
8.169321146582859683e+00 6.206807425225356667e+00 9.163479428309710073e+00 9.073805706098392321e+00 8.478339861169802205e+00 9.623935905011407499e+00
7.161699269245815458e+00 8.243017298515706415e+00 9.495038300714943702e+00 8.726418282629799350e+00 8.018986405678457885e+00 8.983493619006214459e+00
9.710980326538750873e+00 8.864229885616838445e+00 9.567687762852180811e+00 9.144681537578208008e+00 8.329118908395589216e+00 4.035927685366178963e+00
8.975985514773142881e+00 9.645610876622955132e+00 9.958052239936593608e+00 6.862826117254287261e+00 6.976546783480928049e+00 9.991320937289803084e+00
9.299448921989451833e+00 8.429308584195757348e+00 8.489652296303770385e+00 7.343471629957879721e+00 9.087049554930919371e+00 8.955943668166343130e+00
7.280884813778927267e+00 3.937515882679609724e+00 8.046768055989868884e+00 9.006404804019558341e+00 8.080063617447811097e+00 9.257074354606492861e+00
7.225690613935523032e+00 9.517061408919484933e+00 8.703597206769781991e+00 6.701901758354036787e+00 6.935484765300896193e+00 7.844182797419805730e+00
6.838804215565612132e+00 8.877194260771430478e+00 7.193013253815465191e+00 8.664255718415798668e+00 7.476828439262680703e+00 7.393254060229637048e+00
7.841518694949992430e+00 8.168739954604395948e+00 6.392647763500558078e+00 9.759035765284918895e+00 7.748551944682554371e+00 5.741363520163258016e+00
6.781256947670118329e+00 7.747242241692993581e+00 6.497517893975557790e+00 8.153981807887996425e+00 8.172787139356337605e+00 7.664738226747902061e+00
8.274630985850423670e+00 8.465536443324230831e+00 5.075138447409705655e+00 9.758773744550309104e+00 7.293392494950341920e+00 7.428308285665271349e+00
9.627486306817578665e+00 9.677996947071392242e+00 5.133549268233974061e+00 9.367997362495275482e+00 6.960701508124025771e+00 8.022232775876112498e+00
8.992329212534631466e+00 9.616781676343713059e+00 8.695013772120590900e+00 9.738573994417317081e+00 8.444087732229828447e+00 8.869743558759459745e+00
7.448619014754641832e+00 4.638757547164842343e+00 7.408191188156978413e+00 8.819008034915771788e+00 8.549620968377945829e+00 8.104530785757788180e+00
8.351835829812829459e+00 6.177078374289916241e+00 9.232198351695412697e+00 7.434323100619954161e+00 9.832171971764745777e+00 9.390853514584650341e+00
9.845997807540566527e+00 9.218612486294833985e+00 5.180612571063218041e+00 7.655749133883411162e+00 9.210712144119394651e+00 8.371674819997597439e+00
9.827599933226601081e+00 4.539272174664303883e+00 5.188859508167924517e+00 6.745994557490864629e+00 7.761083691995043665e+00 4.482960055085351669e+00
9.404409490254765913e+00 9.667445993933137416e+00 7.890714904991432022e+00 9.605626077931550100e+00 9.600743190218661738e+00 5.753370084198340173e+00
8.522732753982223741e+00 4.968538743263928303e+00 9.501422209997331336e+00 9.148205707688857657e+00 7.123503791854036926e+00 8.241112809297025166e+00
8.647379686188306991e+00 8.231173129254010234e+00 9.012402145729627279e+00 9.206736483126642057e+00 7.551433097064068178e+00 9.609947932110541657e+00
8.324665519951951254e+00 9.464813408683969698e+00 9.429990740301953167e+00 9.959381922695389022e+00 7.572135108676421034e+00 9.598692006812431288e+00
9.367640616129815356e+00 6.392917162033551648e+00 9.739344870431477119e+00 9.866741966396698871e+00 9.748197979025681192e+00 7.446881398102750182e+00
9.210676866119994699e+00 6.922758392656405135e+00 9.549563663705010086e+00 9.997573842730608007e+00 8.450474997645322617e+00 9.805666510317520235e+00
6.853922199073765320e+00 9.550655785312702761e+00 6.357083880581778423e+00 9.297423240117822729e+00 8.250859612622567951e+00 8.974096506715582677e+00
8.092669893574491624e+00 8.252716001828211745e+00 7.923179135467092848e+00 9.877630460192314388e+00 6.579841202632372266e+00 9.976363369177901674e+00
5.879418796295460936e+00 8.051248166872220224e+00 9.997116041979314360e+00 8.383231282894897163e+00 8.971848258506257778e+00 8.940164596336193981e+00
7.691611979064848725e+00 8.523798494472401899e+00 7.960023867601920600e+00 9.040305695297464084e+00 9.771140710821981656e+00 8.797650055171452266e+00
8.656453860187621530e+00 9.926897076619995985e+00 9.228174637357902554e+00 9.119507607274851324e+00 8.969199060384568156e+00 9.681608068519562238e+00
7.222376115849115763e+00 8.551542864628460805e+00 8.475278530314879433e+00 8.814149462650044953e+00 7.662291873323836988e+00 9.909272244890802384e+00
5.894035446672575063e+00 7.773184131051253942e+00 8.287026128472509967e+00 9.748323382784803925e+00 5.793848005998246897e+00 9.573969118002265688e+00
